Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3,5028,Thailand,H050104,1985-06-13,1985,6,13,22.3,7.3,132.0,8.8,0.51,0.3,0.25,0.11,0.89,0.15,0.03,0.247,0.066,0.101,6.82,3.9
16,5029,Thailand,H050104,1985-08-15,1985,8,15,24.0,7.9,180.0,8.0,0.38,0.22,0.24,0.08,0.7,0.05,0.09,0.147,0.026,0.01,6.7,0.9
32,5030,Thailand,H050104,1985-10-15,1985,10,15,26.0,7.7,70.0,9.8,0.52,0.21,0.26,0.08,0.84,0.08,0.03,0.25,0.02,0.041,7.0,0.3
38,5031,Thailand,H050104,1985-11-13,1985,11,13,22.0,7.27,2.0,9.2,0.49,0.19,0.23,0.09,0.74,0.09,0.04,0.285,0.042,0.067,7.6,1.7
50,5032,Thailand,H050104,1985-12-16,1985,12,16,21.0,7.64,54.0,10.3,0.54,0.25,0.24,0.06,0.88,0.09,0.03,0.176,0.001,0.03,8.18,0.5
56,5090,Thailand,H050104,1986-01-15,1986,1,15,21.5,7.75,40.0,10.4,0.58,0.2,0.22,0.06,0.84,0.04,0.14,0.207,0.053,0.052,8.16,0.5
66,5091,Thailand,H050104,1986-02-13,1986,2,13,22.0,7.68,40.0,9.8,0.53,0.26,0.24,0.06,0.98,0.04,0.09,0.257,0.036,0.05,7.68,0.6
83,5092,Thailand,H050104,1986-03-13,1986,3,13,20.8,7.69,16.5,10.9,0.56,0.22,0.26,0.06,1.02,0.03,0.04,0.244,0.036,0.049,7.76,0.9
96,5093,Thailand,H050104,1986-04-17,1986,4,17,27.0,7.73,60.5,12.3,0.6,0.26,0.28,0.09,1.1,0.02,0.01,0.216,0.023,0.071,6.48,1.6
131,5094,Thailand,H050104,1986-08-17,1986,8,17,28.0,7.56,24.0,8.6,0.44,0.2,0.23,0.07,0.74,0.08,0.04,0.301,0.066,0.061,6.2,1.9
151,5095,Thailand,H050104,1986-10-15,1986,10,15,27.0,7.82,100.0,11.1,0.68,0.24,0.15,0.07,1.04,0.05,0.07,0.112,0.022,0.029,6.84,1.3
165,5096,Thailand,H050104,1986-11-17,1986,11,17,25.0,7.57,57.0,11.0,0.67,0.26,0.2,0.06,1.07,0.04,0.01,0.55,0.07,0.033,7.14,1.0
178,5162,Thailand,H050104,1987-01-15,1987,1,15,23.0,7.8,35.0,11.8,0.65,0.26,0.23,0.07,1.09,0.04,0.01,0.174,0.048,0.069,7.88,1.0
200,5163,Thailand,H050104,1987-03-16,1987,3,16,23.0,7.7,13.0,11.4,0.61,0.23,0.24,0.07,1.06,0.05,0.01,0.298,0.023,0.046,9.02,0.8
205,5164,Thailand,H050104,1987-04-15,1987,4,15,27.8,7.73,72.0,11.7,0.6,0.24,0.26,0.08,1.11,0.03,0.08,0.113,0.061,0.054,7.06,0.8
208,5165,Thailand,H050104,1987-05-13,1987,5,13,29.0,7.71,66.0,12.1,0.68,0.26,0.26,0.09,1.12,0.04,0.08,0.325,0.003,0.065,7.14,1.3
220,5166,Thailand,H050104,1987-06-15,1987,6,15,26.8,7.51,126.0,11.0,0.61,0.25,0.22,0.09,1.0,0.07,0.21,0.284,0.05,0.088,6.56,2.4
223,5167,Thailand,H050104,1987-07-15,1987,7,15,28.0,7.54,71.0,10.8,0.49,0.29,0.25,0.07,0.92,0.1,0.11,0.205,0.077,0.052,6.58,2.2
231,5168,Thailand,H050104,1987-08-16,1987,8,16,30.0,7.46,128.0,9.8,0.55,0.26,0.18,0.07,0.91,0.1,0.06,0.133,0.067,0.053,6.0,3.3
254,5169,Thailand,H050104,1987-10-15,1987,10,15,29.0,7.57,121.0,11.1,0.66,0.26,0.18,0.06,0.98,0.05,0.11,0.162,0.013,0.049,7.19,3.5
268,5170,Thailand,H050104,1987-11-16,1987,11,16,26.5,7.61,156.0,10.9,0.59,0.28,0.19,0.05,0.95,0.01,0.16,0.198,0.016,0.07,7.02,2.4
274,5171,Thailand,H050104,1987-12-15,1987,12,15,19.0,8.04,31.0,11.3,0.66,0.23,0.2,0.05,1.04,0.02,0.09,0.15,0.026,0.054,8.46,0.7
