MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Thailand,H013101,1985-06-13,1985,6,13,30.0,7.2,206.0,15.7,0.93,0.3,0.5,0.06,1.09,0.34,0.22,0.371,0.035,0.04,6.73,3.8
Thailand,H013101,1985-09-16,1985,9,16,26.3,7.5,262.0,14.5,1.05,0.26,0.25,0.06,1.23,0.12,0.2,0.484,0.0,0.023,6.44,1.3
Thailand,H013101,1985-11-13,1985,11,13,26.6,7.35,128.0,20.9,1.38,0.34,0.41,0.05,1.46,0.27,0.31,0.397,0.002,0.027,7.61,1.0
Thailand,H013101,1985-12-16,1985,12,16,22.6,7.85,198.0,20.2,1.26,0.44,0.37,0.04,1.43,0.23,0.26,0.25,0.005,0.02,8.12,0.7
Thailand,H013101,1986-01-16,1986,1,16,21.2,8.08,70.0,21.9,1.44,0.31,0.42,0.04,1.54,0.25,0.29,0.2,0.038,0.024,8.85,0.4
Thailand,H013101,1986-02-13,1986,2,13,24.0,8.19,36.5,21.1,1.4,0.51,0.44,0.03,1.76,0.29,0.34,0.409,0.017,0.033,7.9,0.8
Thailand,H013101,1986-03-13,1986,3,13,24.3,8.23,20.0,24.4,1.48,0.48,0.48,0.04,1.86,0.29,0.37,0.233,0.034,0.019,8.6,0.6
Thailand,H013101,1986-04-16,1986,4,16,28.0,8.13,9.0,26.3,1.49,0.54,0.56,0.04,1.86,0.35,0.43,0.034,0.031,0.018,7.32,0.9
Thailand,H013101,1986-05-15,1986,5,15,28.0,7.86,190.5,17.7,1.02,0.29,0.35,0.05,1.25,0.23,0.18,0.627,0.028,0.063,6.65,1.4
Thailand,H013101,1986-06-17,1986,6,17,28.3,7.42,104.0,11.5,0.7,0.18,0.26,0.08,0.82,0.18,0.14,0.27,0.0,0.043,6.3,1.6
Thailand,H013101,1986-07-16,1986,7,16,28.8,7.97,174.0,16.6,1.17,0.27,0.3,0.04,1.32,0.15,0.26,0.381,0.0,0.037,6.8,1.2
Thailand,H013101,1986-11-18,1986,11,18,26.2,7.91,216.0,19.0,1.28,0.4,0.3,0.04,1.59,0.23,0.19,0.362,0.052,0.029,7.46,0.7
Thailand,H013101,1986-12-17,1986,12,17,24.2,8.07,73.0,21.9,1.34,0.44,0.42,0.04,1.75,0.3,0.25,0.244,0.0,0.031,8.16,0.6
Thailand,H013101,1987-01-15,1987,1,15,22.3,8.17,89.0,22.7,1.37,0.45,0.44,0.04,1.73,0.29,0.27,0.181,0.0,0.043,8.28,0.4
Thailand,H013101,1987-02-17,1987,2,17,25.0,8.0,24.0,21.9,1.35,0.44,0.42,0.04,1.79,0.25,0.3,0.15,0.021,0.035,7.91,0.8
Thailand,H013101,1987-03-17,1987,3,17,28.5,8.1,7.0,24.3,1.47,0.43,0.5,0.04,1.99,0.33,0.32,0.352,0.024,0.048,7.8,0.5
Thailand,H013101,1987-05-14,1987,5,14,31.4,8.03,51.0,23.8,1.41,0.51,0.43,0.04,1.68,0.33,0.44,0.399,0.01,0.021,7.26,0.7
Thailand,H013101,1987-07-16,1987,7,16,29.0,7.8,113.0,17.6,1.02,0.42,0.31,0.03,1.26,0.22,0.37,0.241,0.014,0.015,6.82,1.8
Thailand,H013101,1987-11-17,1987,11,17,27.2,8.3,311.0,22.0,1.39,0.49,0.33,0.03,1.54,0.16,0.37,0.239,0.023,0.062,7.25,1.9
Thailand,H013101,1987-12-15,1987,12,15,23.5,7.82,117.0,22.0,1.36,0.45,0.36,0.03,1.69,0.19,0.39,0.181,0.002,0.053,8.26,0.7
Thailand,H013101,1988-01-15,1988,1,15,23.2,8.15,49.0,24.2,1.14,0.79,0.42,0.03,1.78,0.26,0.41,0.193,0.034,0.037,8.38,0.6
Thailand,H013101,1988-02-16,1988,2,16,26.0,8.2,23.0,25.1,1.42,0.49,0.46,0.03,1.72,0.25,0.37,0.141,0.034,0.061,7.87,0.3
Thailand,H013101,1988-03-15,1988,3,15,24.2,8.05,21.0,25.6,1.45,0.5,0.46,0.04,1.69,0.24,0.37,0.09,0.038,0.029,8.16,0.8
Thailand,H013101,1988-04-15,1988,4,15,26.0,7.67,14.0,26.2,1.39,0.64,0.5,0.04,1.65,0.25,0.57,0.27,0.064,0.041,7.02,0.3
